date,draw_number,ball1,ball2,ball3,ball4,ball5,ball6,bonus_ball,jackpot
2023-04-01,2321,26,27,29,31,32,52,12,19474661.0
2023-03-29,2320,4,15,21,22,30,33,5,16019227.0
2023-03-25,2319,10,11,31,35,39,46,3,14000000.0
2023-03-22,2318,4,10,27,34,43,44,22,10195568.0
2023-03-18,2317,5,8,26,31,47,50,35,8116840.0
2023-03-15,2316,27,36,41,43,46,50,45,5298608.0
2023-03-11,2315,17,38,44,48,49,50,5,2850389.0
2023-03-08,2314,11,19,23,27,35,44,13,17358672.0
2023-03-04,2313,4,9,13,38,42,45,40,15011350.0
2023-03-01,2312,23,24,25,26,34,35,14,11801305.0
2023-02-25,2311,12,14,19,24,33,42,5,9167675.0
2023-02-22,2310,5,14,20,22,25,34,8,6543122.0
2023-02-18,2309,7,9,21,25,31,50,15,4624611.0
2023-02-15,2308,4,7,14,30,37,46,16,2148908.0
2023-02-11,2307,9,11,35,39,40,48,19,22260105.0
2023-02-08,2306,15,20,23,31,33,40,29,19212925.0
2023-02-04,2305,11,13,23,45,47,50,10,16630732.0
2023-02-01,2304,2,21,24,38,44,48,36,13396581.0
2023-01-28,2303,8,27,30,32,46,52,43,10644948.0
2023-01-25,2302,3,6,9,11,31,39,7,7318436.0
2023-01-21,2301,1,13,14,22,41,52,9,5176894.0
2023-01-18,2300,5,29,31,35,39,47,1,2410601.0
2023-01-14,2299,8,9,14,33,34,47,26,10866147.0
2023-01-11,2298,4,10,21,25,37,46,2,7878262.0
2023-01-07,2297,3,4,19,25,27,32,8,5411841.0
2023-01-04,2296,1,18,25,30,46,48,19,2661731.0
2022-12-31,2295,12,18,19,41,48,52,35,32055392.0
2022-12-28,2294,8,22,30,40,42,49,41,28509451.0
2022-12-24,2293,7,10,17,19,23,50,43,25822358.0
2022-12-21,2292,7,20,21,37,38,46,24,22963093.0
2022-12-17,2291,4,6,18,20,36,40,43,20016289.0
2022-12-14,2290,2,7,20,21,35,46,22,17125513.0
2022-12-10,2289,11,23,37,39,43,44,31,14782244.0
2022-12-07,2288,1,5,18,45,47,52,19,11805089.0
2022-12-03,2287,1,12,26,33,50,52,19,9196601.0
2022-11-30,2286,11,25,29,41,44,51,17,5940746.0
2022-11-26,2285,5,18,20,26,35,38,24,3066853.0
2022-11-23,2284,3,8,10,12,19,27,18,74773380.0
2022-11-19,2283,6,8,12,37,43,51,21,72224516.0
2022-11-16,2282,2,4,12,23,42,46,49,68271194.0
2022-11-12,2281,1,11,45,48,51,52,9,65000000.0
2022-11-09,2280,11,18,35,41,46,51,13,60664117.0
2022-11-05,2279,4,18,27,32,38,45,42,57289582.0
2022-11-02,2278,1,7,22,33,39,40,15,53367089.0
2022-10-29,2277,9,30,32,38,43,50,28,50000000.0
2022-10-26,2276,4,14,18,23,42,50,22,44994186.0
2022-10-22,2275,12,14,33,37,47,48,11,41935882.0
2022-10-19,2274,1,5,14,29,40,52,34,38621536.0
2022-10-15,2273,9,11,13,21,30,46,19,35748705.0
2022-10-12,2272,4,15,16,26,44,45,22,32667831.0
2022-10-08,2271,7,11,12,19,36,39,4,30000000.0
2022-10-05,2270,14,16,23,26,40,42,13,25361986.0
2022-10-01,2269,7,9,13,16,26,42,12,22404159.0
2022-09-28,2268,2,12,15,29,31,47,48,19318800.0
2022-09-24,2267,3,18,28,29,36,44,22,16449137.0
2022-09-21,2266,8,15,16,24,32,42,14,13482393.0
2022-09-17,2265,1,7,22,34,39,46,15,11227641.0
2022-09-14,2264,4,17,29,31,46,48,50,8343360.0
2022-09-10,2263,6,15,17,19,41,44,25,5785896.0
2022-09-07,2262,2,10,17,28,40,44,34,2821111.0
2022-09-03,2261,7,20,34,45,49,50,17,86938412.0
2022-08-31,2260,3,9,13,25,31,39,36,80164272.0
2022-08-27,2259,4,10,14,24,31,37,20,78000000.0
2022-08-24,2258,8,11,12,37,41,48,40,71896673.0
2022-08-20,2257,7,9,20,27,46,51,47,68485452.0
2022-08-17,2256,5,13,21,34,35,39,28,64831665.0
2022-08-13,2255,6,8,27,28,39,48,7,61497841.0
2022-08-10,2254,13,14,21,34,45,52,26,57845142.0
2022-08-06,2253,7,18,30,36,44,47,28,54599199.0
2022-08-03,2252,5,9,12,23,50,51,4,50741949.0
2022-07-30,2251,1,9,13,34,35,37,42,47091611.0
2022-07-27,2250,1,7,36,41,49,51,45,42972495.0
2022-07-23,2249,23,33,47,48,50,52,24,39441088.0
2022-07-20,2248,3,6,15,30,41,45,20,35706868.0
2022-07-16,2247,7,13,22,31,45,46,9,33049735.0
2022-07-13,2246,3,6,9,10,29,51,11,30228413.0
2022-07-09,2245,6,24,29,35,41,44,49,28062762.0
2022-07-06,2244,11,16,26,34,38,42,52,25025306.0
2022-07-02,2243,4,17,22,37,38,46,23,22529950.0
2022-06-29,2242,27,33,34,40,41,51,36,19640687.0
2022-06-25,2241,2,8,19,29,35,43,7,17210128.0
2022-06-22,2240,9,16,32,38,42,46,33,14580522.0
2022-06-18,2239,13,25,35,37,38,44,52,12456862.0
2022-06-15,2238,2,19,24,36,45,50,26,9818520.0
2022-06-11,2237,6,15,18,23,34,37,48,7632365.0
2022-06-08,2236,21,25,27,34,39,48,44,5097983.0
2022-06-04,2235,11,22,23,32,35,47,41,2796381.0
2022-06-01,2234,15,20,22,27,43,49,29,5949586.0
2022-05-28,2233,14,28,30,31,44,47,4,3296253.0
2022-05-25,2232,1,6,12,17,31,45,10,4549099.0
2022-05-21,2231,2,3,7,20,28,37,5,2235378.0
2022-05-18,2230,4,9,15,16,23,29,21,12616607.0
2022-05-14,2229,10,13,22,27,36,40,45,10516094.0
2022-05-11,2228,20,22,25,36,50,51,12,7747020.0
2022-05-07,2227,14,35,36,40,45,50,44,5306104.0
2022-05-04,2226,7,11,28,30,36,44,33,2250347.0
2022-04-30,2225,14,22,27,28,35,45,10,39912562.0
2022-04-27,2224,4,14,17,24,32,49,37,36831543.0
2022-04-23,2223,1,9,18,24,34,51,37,34469671.0
2022-04-20,2222,1,6,25,26,39,47,24,31523935.0
2022-04-16,2221,10,14,25,30,43,49,22,29220687.0
2022-04-13,2220,3,17,22,27,31,39,38,26604343.0
2022-04-09,2219,2,5,11,27,42,46,14,24368546.0
2022-04-06,2218,10,13,29,47,48,51,2,21322631.0
2022-04-02,2217,7,10,28,38,48,49,31,18511436.0
2022-03-30,2216,12,18,24,31,38,44,51,15432770.0
2022-03-26,2215,6,18,22,28,34,45,20,12902439.0
2022-03-23,2214,3,6,10,30,38,48,8,9899979.0
2022-03-19,2213,3,9,23,41,42,48,16,7905552.0
2022-03-16,2212,17,29,30,38,40,43,4,5149506.0
2022-03-12,2211,13,20,32,39,43,52,40,2760717.0
2022-03-09,2210,15,17,22,29,40,42,2,2271380.0
2022-03-05,2209,14,16,17,39,49,50,2,3262041.0
2022-03-02,2208,5,10,15,37,43,45,19,17383193.0
2022-02-26,2207,1,11,14,27,46,47,24,14767192.0
2022-02-23,2206,8,13,23,28,30,41,43,11703464.0
2022-02-19,2205,4,11,12,20,38,48,2,9502767.0
2022-02-16,2204,4,11,24,25,27,41,30,6995453.0
2022-02-12,2203,12,19,21,24,25,39,7,4790630.0
2022-02-09,2202,2,18,20,28,35,44,23,2338299.0
2022-02-05,2201,4,21,31,33,36,38,17,11246562.0
2022-02-02,2200,11,17,20,28,31,46,25,8060767.0
2022-01-29,2199,8,10,19,34,36,52,2,5500022.0
2022-01-26,2198,3,17,38,44,46,50,7,2515068.0
2022-01-22,2197,5,8,11,17,31,38,39,2436629.0
2022-01-19,2196,1,14,21,33,37,49,44,4674495.0
2022-01-15,2195,7,12,13,19,25,37,50,2438240.0
2022-01-12,2194,5,16,30,45,47,52,13,26368896.0
2022-01-08,2193,6,12,15,17,22,33,46,23809881.0
2022-01-05,2192,8,14,15,25,30,31,17,21247688.0
2022-01-01,2191,5,10,16,43,44,49,23,18730287.0
2021-12-29,2190,2,4,17,39,43,46,51,16332572.0
2021-12-22,2189,15,23,32,34,37,45,21,12502437.0
2021-12-18,2188,4,12,17,22,23,26,1,9883262.0
2021-12-15,2187,7,9,41,45,48,50,24,7464495.0
2021-12-11,2186,2,12,14,16,28,51,19,5069734.0
2021-12-08,2185,13,30,36,41,44,46,35,2492188.0
2021-12-04,2184,17,26,28,30,42,46,14,63930304.0
2021-12-01,2183,1,8,9,17,39,50,30,60048724.0
2021-11-27,2182,5,15,16,34,38,42,41,56844088.0
2021-11-24,2181,6,18,24,39,43,48,40,53020362.0
2021-11-20,2180,2,21,23,26,32,42,47,50000000.0
2021-11-17,2179,5,14,35,43,50,52,34,39982834.0
2021-11-13,2178,3,19,20,35,39,41,25,37055400.0
2021-11-10,2177,8,12,15,19,34,49,31,34019215.0
2021-11-06,2176,3,22,25,30,38,45,50,31651573.0
2021-11-03,2175,5,6,11,12,13,16,42,28607165.0
2021-10-30,2174,8,12,38,41,42,45,29,26442908.0
2021-10-27,2173,1,26,31,38,44,48,22,23289868.0
2021-10-23,2172,5,11,12,31,43,49,17,20628786.0
2021-10-20,2171,3,17,24,35,42,43,39,17845533.0
2021-10-16,2170,12,13,35,40,41,44,15,15686101.0
2021-10-13,2169,1,10,26,35,38,49,27,12807470.0
2021-10-09,2168,3,5,10,32,37,40,12,10421304.0
2021-10-06,2167,11,16,25,26,34,45,30,7763868.0
2021-10-02,2166,2,15,27,33,43,44,38,5356519.0
2021-09-29,2165,14,15,24,33,35,51,26,2417228.0
2021-09-25,2164,2,7,10,38,47,48,30,35780809.0
2021-09-22,2163,2,8,27,28,32,50,35,32688820.0
2021-09-18,2162,4,11,12,32,34,47,8,30000000.0
2021-09-15,2161,8,9,19,45,47,52,24,22656984.0
2021-09-11,2160,7,22,36,38,48,50,37,20228463.0
2021-09-08,2159,2,4,18,19,20,28,45,17247205.0
2021-09-04,2158,4,6,27,30,39,41,22,15046164.0
2021-09-01,2157,2,14,23,33,36,42,45,11965898.0
2021-08-28,2156,8,14,16,21,42,47,30,9441426.0
2021-08-25,2155,11,26,28,30,33,50,22,6605622.0
2021-08-21,2154,10,19,29,38,45,50,35,4502584.0
2021-08-18,2153,3,14,29,30,33,35,4,1957151.0
2021-08-14,2152,5,14,19,34,44,49,8,7401805.0
2021-08-11,2151,2,5,25,32,48,51,20,4853018.0
2021-08-07,2150,3,13,25,26,31,50,32,2659209.0
2021-08-04,2149,21,26,27,30,37,51,29,2480140.0
2021-07-31,2148,24,29,36,37,39,45,50,3055014.0
2021-07-28,2147,1,5,13,22,27,28,25,10009561.0
2021-07-24,2146,6,39,40,44,45,47,31,7699153.0
2021-07-21,2145,3,6,13,23,28,31,21,4360731.0
2021-07-17,2144,4,11,18,20,35,41,45,2363053.0
2021-07-14,2143,13,22,26,44,46,52,27,5085888.0
2021-07-10,2142,1,9,13,32,37,39,24,3144975.0
2021-07-07,2141,23,26,29,32,34,39,10,13676947.0
2021-07-03,2140,4,12,20,34,46,49,31,10878906.0
2021-06-30,2139,8,10,29,37,38,50,30,7557528.0
2021-06-26,2138,2,5,11,15,29,33,21,4899046.0
2021-06-23,2137,12,30,35,38,43,52,34,2299697.0
2021-06-19,2136,3,10,13,14,38,51,47,15399686.0
2021-06-16,2135,7,8,29,37,49,51,43,12579794.0
2021-06-12,2134,7,21,23,30,43,48,36,10407583.0
2021-06-09,2133,11,15,34,36,48,50,43,7637579.0
2021-06-05,2132,9,26,35,36,40,46,14,5261986.0
2021-06-02,2131,22,26,27,31,33,47,34,2351290.0
2021-05-29,2130,16,18,20,22,26,29,41,20569105.0
2021-05-26,2129,6,22,29,45,50,52,32,17717264.0
2021-05-22,2128,1,10,26,35,46,50,14,15112350.0
2021-05-19,2127,1,6,12,16,35,45,2,12283055.0
2021-05-15,2126,7,13,29,37,38,42,8,10280706.0
2021-05-12,2125,2,11,13,20,31,42,16,7436850.0
2021-05-08,2124,2,12,15,24,26,43,6,5294744.0
2021-05-05,2123,6,14,19,28,31,32,39,2513377.0
2021-05-01,2122,10,11,13,20,43,51,4,13296348.0
2021-04-28,2121,7,18,20,22,31,48,29,10191593.0
2021-04-24,2120,22,26,31,40,42,43,19,8010747.0
2021-04-21,2119,1,7,10,11,23,31,8,4831390.0
2021-04-17,2118,14,28,30,44,47,51,3,3089017.0
2021-04-14,2117,1,5,8,19,26,48,30,30171050.0
2021-04-10,2116,1,13,24,25,43,46,16,27867479.0
2021-04-07,2115,7,13,30,37,39,46,17,24620682.0
2021-04-03,2114,6,9,15,30,32,34,11,21873799.0
2021-03-31,2113,1,16,39,47,49,52,23,19114281.0
2021-03-27,2112,11,13,25,27,45,51,52,16265503.0
2021-03-24,2111,1,23,41,42,45,49,43,12935501.0
2021-03-20,2110,2,14,21,46,49,50,38,10550185.0
2021-03-17,2109,4,11,25,31,37,47,20,7515433.0
2021-03-13,2108,11,13,21,26,34,50,17,5155527.0
2021-03-10,2107,1,7,16,41,45,52,31,2451543.0
2021-03-06,2106,3,18,20,40,41,43,33,9199190.0
2021-03-03,2105,8,11,26,34,49,50,13,5927081.0
2021-02-27,2104,11,13,14,21,22,32,5,2983512.0
2021-02-24,2103,7,10,12,16,29,49,21,28225495.0
2021-02-20,2102,3,8,16,21,38,41,45,26017474.0
2021-02-17,2101,1,3,6,25,35,43,11,23029871.0
2021-02-13,2100,5,18,25,26,29,42,17,20699155.0
2021-02-10,2099,1,10,12,15,21,42,48,17725813.0
2021-02-06,2098,5,14,15,17,26,33,47,15358708.0
2021-02-03,2097,7,10,18,22,36,51,29,12282477.0
2021-01-30,2096,6,21,27,32,34,35,45,9494423.0
2021-01-27,2095,2,3,13,15,38,42,44,5928956.0
2021-01-23,2094,18,20,39,46,47,49,36,3169629.0
2021-01-20,2093,19,20,24,32,46,48,38,38364068.0
2021-01-16,2092,21,25,40,42,44,49,22,35542024.0
2021-01-13,2091,1,3,15,25,36,48,2,32222187.0
2021-01-09,2090,10,23,25,28,39,48,52,29756046.0
2021-01-06,2089,4,10,20,41,50,52,48,26356849.0
2021-01-02,2088,9,11,21,28,35,46,31,23632504.0
2020-12-30,2087,2,10,19,36,38,42,21,20952648.0
2020-12-26,2086,8,24,33,37,44,49,17,18389177.0
2020-12-23,2085,5,7,15,22,23,44,37,16235888.0
2020-12-19,2084,11,30,33,35,46,49,24,13830031.0
2020-12-16,2083,1,2,29,33,36,50,22,10781757.0
2020-12-12,2082,8,12,19,37,43,47,41,8323394.0
2020-12-09,2081,21,30,32,42,44,48,1,5589773.0
2020-12-05,2080,7,17,27,38,45,46,26,2966201.0
2020-12-02,2079,9,27,34,37,38,48,19,2715852.0
2020-11-28,2078,6,12,15,24,36,37,45,53294212.0
2020-11-25,2077,5,10,11,14,20,33,15,50000000.0
2020-11-21,2076,3,9,12,14,22,52,47,44081664.0
2020-11-18,2075,1,8,20,27,42,44,47,41427757.0
2020-11-14,2074,4,13,15,28,31,47,35,39010789.0
2020-11-11,2073,16,19,23,36,45,46,6,35906901.0
2020-11-07,2072,2,4,14,15,28,46,5,33505493.0
2020-11-04,2071,2,14,17,24,34,51,19,30526834.0
2020-10-31,2070,13,26,35,45,49,50,5,27849862.0
2020-10-28,2069,6,16,20,30,44,51,28,24436683.0
2020-10-24,2068,1,24,30,32,39,49,23,21851662.0
2020-10-21,2067,10,29,36,42,43,51,19,18739905.0
2020-10-17,2066,2,4,7,28,41,48,37,16300222.0
2020-10-14,2065,1,35,45,49,51,52,16,13554533.0
2020-10-10,2064,2,22,33,41,42,48,5,11100314.0
2020-10-07,2063,1,16,22,26,42,45,36,8021295.0
2020-10-03,2062,3,23,26,27,42,51,37,5373526.0
2020-09-30,2061,9,18,25,26,28,33,11,2226048.0
2020-09-26,2060,3,7,18,21,27,42,50,2490579.0
2020-09-23,2059,8,10,17,20,40,46,47,7062533.0
2020-09-19,2058,4,9,10,23,24,32,7,4987037.0
2020-09-16,2057,28,32,44,49,51,52,15,2454199.0
2020-09-12,2056,13,20,30,34,40,50,28,19334383.0
2020-09-09,2055,8,15,31,33,35,43,40,16358771.0
2020-09-05,2054,17,21,23,29,30,39,47,13848738.0
2020-09-02,2053,9,16,21,28,37,48,49,10717772.0
2020-08-29,2052,9,16,21,27,33,45,17,8265236.0
2020-08-26,2051,1,11,12,41,43,49,15,5369511.0
2020-08-22,2050,18,29,37,43,48,51,9,2934443.0
2020-08-19,2049,1,7,26,27,42,49,18,17361259.0
2020-08-15,2048,1,13,15,19,26,32,38,15136554.0
2020-08-12,2047,12,23,24,30,44,49,36,12073833.0
2020-08-08,2046,13,23,25,30,47,51,38,9588285.0
2020-08-05,2045,7,23,31,33,39,51,30,6095927.0
2020-08-01,2044,5,9,23,38,41,46,14,3387719.0
2020-07-29,2043,6,16,23,26,33,48,7,37951526.0
2020-07-25,2042,5,9,20,24,27,48,8,35070441.0
2020-07-22,2041,4,7,12,13,19,52,46,31637346.0
2020-07-18,2040,3,17,30,32,36,42,2,29388022.0
2020-07-15,2039,4,11,15,19,27,38,48,26254248.0
2020-07-11,2038,7,20,24,36,43,52,11,24148526.0
2020-07-08,2037,3,8,10,16,17,43,52,21361193.0
2020-07-04,2036,8,14,15,42,44,51,4,19094491.0
2020-07-01,2035,5,13,21,30,32,41,40,15888485.0
2020-06-27,2034,8,9,35,39,45,48,41,13441918.0
2020-06-24,2033,3,9,14,19,21,24,8,10373916.0
2020-06-20,2032,6,24,28,40,45,49,39,8748138.0
2020-06-17,2031,1,32,35,36,40,52,51,6167997.0
2020-06-13,2030,2,3,12,13,32,47,41,4123057.0
2020-06-10,2029,15,16,18,23,34,49,32,1790513.0
2020-06-06,2028,15,16,23,36,37,38,18,8129458.0
2020-06-03,2027,7,16,23,26,31,43,34,5896446.0
2020-05-30,2026,4,13,20,23,31,46,28,4354368.0
2020-05-27,2025,3,9,15,24,39,42,4,3087983.0
2020-05-23,2024,2,11,18,20,35,48,36,2094772.0
2020-05-20,2023,6,13,25,27,30,36,32,950003.0
2020-05-16,2022,8,10,15,27,30,49,6,16826525.0
2020-05-13,2021,1,5,6,8,10,18,34,15565564.0
2020-05-09,2020,26,29,40,41,45,48,39,14631390.0
2020-05-06,2019,1,16,28,29,32,49,47,13165982.0
2020-05-02,2018,1,11,14,19,31,43,7,11955848.0
